House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
10,Swift Spur,Amber,Davies,42,Head,Single,Female,Unemployed,None,None
10,Swift Spur,Dawn,Davies,8,Daughter,NA,Female,Student,None,NA
10,Swift Spur,Julie,Davies,7,Daughter,NA,Female,Student,None,NA
10,Swift Spur,Jodie,Davies,5,Daughter,NA,Female,Student,None,NA
10,Swift Spur,Keith,Davies,4,Son,NA,Male,Child,None,NA
10,Swift Spur,Owen,Davies,0,Son,NA,Male,Child,None,NA
11,Swift Spur,Adam,Herbert-Elliott,56,Head,Single,Male,Proofreader,None,None
11,Swift Spur,Abigail,Begum,52,Partner,Single,Female,Chartered management accountant,None,None
11,Swift Spur,Lesley,Herbert-Elliott,17,Daughter,NA,Female,Student,None,NA
11,Swift Spur,Nicholas,Herbert-Elliott,16,Son,NA,Male,Student,None,NA
12,Swift Spur,Marion,Webster,44,Head,Married,Female,Probation officer,None,Catholic
12,Swift Spur,Stuart,Webster,43,Husband,Married,Male,"Psychologist, occupational",None,Catholic
12,Swift Spur,Eric,Webster,7,Son,NA,Male,Student,None,NA
12,Swift Spur,Brian,Webster,3,Son,NA,Male,Child,None,NA
13,Swift Spur,Emily,Taylor,43,Head,Married,Female,Fine artist,Mental Disability,None
13,Swift Spur,Gareth,Taylor-Hardy,46,Husband,Married,Male,Landscape architect,None,None
13,Swift Spur,Ben,Taylor-Hardy,14,Son,NA,Male,Student,None,NA
13,Swift Spur,Jasmine,Taylor-Hardy,9,Daughter,NA,Female,Student,None,NA
14,Swift Spur,Wendy,Allen,34,Head,Married,Female,Medical technical officer,None,Christian
14,Swift Spur,Jeremy,Allen,36,Husband,Married,Male,Dramatherapist,None,None
14,Swift Spur,Lewis,Allen,17,Son,NA,Male,Student,None,NA
14,Swift Spur,Shirley,Allen,17,Daughter,NA,Female,Student,None,NA
15,Swift Spur,Helen,Rees,28,Head,Single,Female,Freight forwarder,None,None
15,Swift Spur,Gordon,Stevens,30,Partner,Single,Male,"Research officer, political party",None,None
16,Swift Spur,Abbie,Thompson,65,Head,Married,Female,Unemployed,None,Christian
16,Swift Spur,Leslie,Thompson,66,Husband,Married,Male,"Designer, multimedia",None,Christian
16,Swift Spur,Norman,Thompson,24,Son,Single,Male,Legal executive,None,Christian
16,Swift Spur,Stuart,Thompson,21,Son,Single,Male,University Student,None,Christian
16,Swift Spur,Keith,Thompson,18,Son,Single,Male,Student,None,Christian
16,Swift Spur,Cheryl,O'Neill-Thompson,15,Daughter,NA,Female,Student,None,NA
17,Swift Spur,Mary,Read,50,Head,Single,Female,Retail manager,None,Christian
17,Swift Spur,Carol,John,28,None,Single,Female,Ranger/warden,None,None
17,Swift Spur,Hayley,Power,63,None,Single,Female,Information officer,None,None
17,Swift Spur,Ian,Morris,18,None,Single,Male,Student,None,NA
18,Swift Spur,William,Griffiths,19,Head,Single,Male,University Student,None,Methodist
18,Swift Spur,Gemma,Jones,51,None,Single,Female,"Scientist, biomedical",None,Christian
18,Swift Spur,Kenneth,Whitehead,41,None,Single,Male,Forensic scientist,None,None
19,Swift Spur,Valerie,Harding,71,Head,Single,Female,Unemployed,None,None
19,Swift Spur,Jacob,Harding,32,Son,Single,Male,Communications engineer,None,None
20,Swift Spur,Marilyn,Stevens,53,Head,Single,Female,"Therapist, music",None,Christian
20,Swift Spur,Graham,Clarke,55,Partner,Single,Male,Industrial buyer,None,None
20,Swift Spur,Margaret,Stevens,16,Daughter,NA,Female,Student,None,NA
21,Swift Spur,Alison,Johnson,29,Head,Married,Female,Art gallery manager,None,None
21,Swift Spur,Bernard,Johnson,31,Husband,Married,Male,Chartered accountant,None,None
21,Swift Spur,Damien,Johnson,8,Son,NA,Male,Student,None,NA
21,Swift Spur,Susan,Johnson,8,Daughter,NA,Female,Student,None,NA
21,Swift Spur,Chelsea,Johnson,5,Daughter,NA,Female,Student,None,NA
22,Swift Spur,Teresa,Reynolds,38,Head,Married,Female,Unemployed,None,Methodist
22,Swift Spur,Joseph,Reynolds,42,Husband,Married,Male,Fine artist,None,None
22,Swift Spur,Robert,Reynolds,16,Son,NA,Male,Student,None,NA
22,Swift Spur,Edward,Reynolds,15,Son,NA,Male,Student,None,NA
22,Swift Spur,Clare,Reynolds,15,Daughter,NA,Female,Student,None,NA
22,Swift Spur,Jason,Reynolds,11,Son,NA,Male,Student,None,NA
23,Swift Spur,Reece,Peters,81,Head,Widowed,Male,Retired Customer service manager,None,Catholic
24,Swift Spur,Connor,Murray,53,Head,Single,Male,Chartered accountant,None,None
24,Swift Spur,Shannon,Pugh,34,None,Single,Female,Product manager,None,None
24,Swift Spur,Shannon,Howe,63,None,Single,Female,Barista,None,None
24,Swift Spur,June,Murphy,49,None,Single,Female,Community development worker,None,Methodist
25,Swift Spur,Christopher,Brown,57,Head,Single,Male,Sports therapist,None,Christian
25,Swift Spur,Mohamed,Randall,20,None,Single,Male,University Student,None,None
26,Swift Spur,Donna,Barton,43,Head,Married,Female,Fashion designer,None,Methodist
26,Swift Spur,Carl,Barton,47,Husband,Married,Male,Landscape architect,None,None
26,Swift Spur,Duncan,Barton,19,Son,Single,Male,University Student,None,Methodist
26,Swift Spur,Julia,Johnson-Barton,16,Daughter,NA,Female,Student,None,NA
27,Swift Spur,Ruth,Peacock,55,Head,Married,Female,Water quality scientist,None,Christian
27,Swift Spur,Frederick,Peacock,60,Husband,Married,Male,Garment/textile technologist,None,Christian
27,Swift Spur,Adam,Peacock,20,Son,Single,Male,University Student,None,Christian
27,Swift Spur,Yvonne,Peacock,7,Daughter,NA,Female,Student,None,NA
28,Swift Spur,Hollie,Cooper,33,Head,Single,Female,Scientific laboratory technician,None,Muslim
28,Swift Spur,Julian,Cooper-Kay,35,Partner,Single,Male,Fast food restaurant manager,None,Muslim
28,Swift Spur,Helen,Cooper-Kay,2,Daughter,NA,Female,Child,None,NA
28,Swift Spur,Elizabeth,Cooper-Kay,1,Daughter,NA,Female,Child,None,NA
29,Swift Spur,Cheryl,Macdonald,42,Head,Single,Female,Local government officer,None,None
30,Swift Spur,Elaine,O'Connor,52,Head,Single,Female,Unemployed,None,Methodist
30,Swift Spur,Marcus,Knowles,47,None,Single,Male,Media planner,None,Methodist
30,Swift Spur,Kenneth,Elliott,40,None,Single,Male,"Administrator, charities/voluntary organisations",None,Catholic
30,Swift Spur,Terence,Perry,43,None,Single,Male,"Teacher, primary school",Unknown Infection,None
31,Swift Spur,Lesley,Cole,34,Head,Married,Female,Purchasing manager,None,Methodist
31,Swift Spur,Jeremy,Cole,33,Husband,Married,Male,Video editor,None,Methodist
32,Swift Spur,Jill,Taylor,64,Head,Single,Female,Unemployed,None,Christian
32,Swift Spur,Katie,Taylor,37,Daughter,Single,Female,"Development worker, international aid",None,Christian
33,Swift Spur,Lydia,Turner,66,Head,Divorced,Female,Volunteer coordinator,None,Catholic
33,Swift Spur,Duncan,Turner,24,Son,Single,Male,Naval architect,None,None
34,Swift Spur,Sharon,Coles,29,Head,Single,Female,Unemployed,None,Muslim
34,Swift Spur,Paul,Coles,5,Son,NA,Male,Student,None,NA
34,Swift Spur,Hugh,Coles,3,Son,NA,Male,Child,None,NA
34,Swift Spur,Ronald,Coles,3,Son,NA,Male,Child,None,NA
35,Swift Spur,Donald,Holloway,38,Head,Single,Male,Unemployed,None,Christian
35,Swift Spur,Ann,Holloway,10,Daughter,NA,Female,Student,None,NA
35,Swift Spur,Jake,Holloway,8,Son,NA,Male,Student,None,NA
35,Swift Spur,Marc,Holloway,7,Son,NA,Male,Student,None,NA
36,Swift Spur,Helen,Chandler,77,Head,Married,Female,Retired Historic buildings inspector/conservation officer,None,None
36,Swift Spur,Jordan,Chandler,83,Husband,Married,Male,Retired Holiday representative,None,None
36,Swift Spur,Carole,Chandler,44,Daughter,Divorced,Female,Unemployed,None,None
36,Swift Spur,Georgina,Chandler,43,Daughter,Single,Female,Microbiologist,None,None
37,Swift Spur,Sheila,Gough,63,Head,Divorced,Female,Unemployed,None,None
37,Swift Spur,Josephine,Gough,8,Granddaughter,NA,Female,Student,None,NA
37,Swift Spur,Rosemary,Sims,3,Granddaughter,NA,Female,Child,None,NA
37,Swift Spur,Steven,Sims,3,Grandson,NA,Male,Child,None,NA
38,Swift Spur,Chloe,Fisher,48,Head,Divorced,Female,Video editor,None,None
38,Swift Spur,Susan,Fisher,1,Daughter,NA,Female,Child,None,NA
38,Swift Spur,Charles,West,56,Lodger,Single,Male,Air traffic controller,None,Christian
39,Swift Spur,Patrick,Chapman,54,Head,Single,Male,Retail manager,None,Christian
39,Swift Spur,Jayne,Moore,52,Partner,Single,Female,Retail manager,None,Christian
40,Swift Spur,Katie,Todd,43,Head,Divorced,Female,"Social research officer, government",None,Catholic
40,Swift Spur,Marion,Todd,13,Daughter,NA,Female,Student,None,NA
40,Swift Spur,Lorraine,Todd,11,Daughter,NA,Female,Student,None,NA
40,Swift Spur,Kayleigh,Todd,8,Daughter,NA,Female,Student,None,NA
41,Swift Spur,Lynn,Smith,29,Head,Single,Female,Chartered management accountant,None,None
41,Swift Spur,Gerard,Clarke,32,Partner,Single,Male,Chiropodist,None,None
41,Swift Spur,Stanley,Smith,4,Son,NA,Male,Child,None,NA
41,Swift Spur,Emma,Smith,4,Daughter,NA,Female,Child,None,NA
42,Swift Spur,Cheryl,Wall,42,Head,Married,Female,Interpreter,None,Christian
42,Swift Spur,Carl,Wall,46,Husband,Married,m,"Engineer, chemical",None,Christian
42,Swift Spur,Katy,Wall,18,Daughter,Divorced,Female,Student,None,Christian
42,Swift Spur,Adrian,Wall,17,Son,NA,Male,Student,None,NA
42,Swift Spur,Ashley,Carr,14,Son,NA,Male,Student,None,NA
42,Swift Spur,Philip,Carr,11,Son,NA,Male,Student,None,NA
43,Swift Spur,Joyce,Lawrence,73,Head,Widowed,Female,Retired Environmental health practitioner,None,None
43,Swift Spur,Gareth,Whitehead,28,Grandson,Divorced,Male,"Surveyor, minerals",None,None
43,Swift Spur,Jane,Whitehead,21,Granddaughter,Widowed,Female,University Student,None,None
43,Swift Spur,Karen,Whitehead,15,Granddaughter,NA,Female,Student,None,NA
44,Swift Spur,Eileen,Bell,44,Head,Divorced,Female,Adult guidance worker,None,None
44,Swift Spur,Annette,Bell,10,Daughter,NA,Female,Student,None,NA
44,Swift Spur,Paula,Bell,3,Daughter,NA,Female,Child,None,NA
44,Swift Spur,Emily,Bell,0,Daughter,NA,Female,Child,None,NA
45,Swift Spur,Emma,Ali,47,Head,Married,Female,Marketing executive,None,Christian
45,Swift Spur,Dylan,Ali,48,Husband,Married,Male,Unemployed,None,None
45,Swift Spur,Charlotte,Ali,31,Daughter,Single,Female,"Therapist, nutritional",None,Christian
45,Swift Spur,Graeme,Ali,27,Son,Single,Male,Retail banker,None,Christian
45,Swift Spur,Alan,Ali,17,Son,NA,male,Student,None,NA
46,Swift Spur,Stacey,Thompson,48,Head,Married,Female,Hydrologist,None,None
46,Swift Spur,Douglas,Thompson,52,Husband,Married,M,"Nurse, adult",None,None
46,Swift Spur,Katy,Thompson,8,Daughter,NA,Female,Student,None,NA
46,Swift Spur,Olivia,Thompson,7,Daughter,NA,Female,Student,None,NA
46,Swift Spur,Ricky,Thompson,5,Son,NA,m,Student,None,NA
46,Swift Spur,Georgina,Thompson,5,Daughter,NA,Female,Student,None,NA
46,Swift Spur,Jamie,Thompson,2,Son,NA,Male,Child,None,NA
47,Swift Spur,Susan,Barnes,59,Head,Single,Female,Unemployed,None,None
47,Swift Spur,Jake,Page,21,None,Single,Male,University Student,None,Muslim
47,Swift Spur,Joel,Bennett,36,None,Single,Male,Sales executive,None,Catholic
47,Swift Spur,Russell,Kennedy,19,None,Single,Male,University Student,None,None
48,Swift Spur,Sara,White,31,Head,Married,Female,Farm manager,None,Catholic
48,Swift Spur,Charlie,White,29,Husband,Married,Male,Aid worker,None,None
48,Swift Spur,Leon,White,7,Son,NA,Male,Student,None,NA
49,Swift Spur,Jean,Hill,28,Head,Married,Female,Plant breeder/geneticist,None,None
49,Swift Spur,Craig,Hill,33,Husband,Married,Male,Pharmacologist,None,None
49,Swift Spur,Hazel,Hill,5,Daughter,NA,Female,Student,None,NA
49,Swift Spur,Mark,Hill,1,Son,NA,Male,Child,None,NA
49,Swift Spur,Jonathan,Hill,0,Son,NA,Male,Child,None,NA
49,Swift Spur,Anna,Hill,0,Daughter,NA,Female,Child,None,NA
50,Swift Spur,Yvonne,Wilson,25,Head,Single,Female,Unemployed,None,Methodist
50,Swift Spur,Robin,Hartley,23,Partner,Single,Male,Data processing manager,None,Methodist
50,Swift Spur,Molly,Robinson,49,Lodger,Divorced,Female,Music therapist,None,Catholic
50,Swift Spur,Chelsea,Doherty,29,Lodger,Single,Female,"Psychologist, clinical",None,Catholic
50,Swift Spur,Heather,Jones,63,Lodger,Single,Female,Advertising account planner,None,Christian
51,Swift Spur,Eleanor,Moore-Lees,57,Head,Single,Female,Solicitor,None,None
51,Swift Spur,Paul,Atkins,59,Partner,Single,Male,"Librarian, academic",None,None
51,Swift Spur,Philip,Moore-Lees,21,Son,Single,Male,University Student,None,None
51,Swift Spur,Paige,Moore-Lees,18,Daughter,Single,Female,Student,None,None
51,Swift Spur,Margaret,Moore-Lees,18,Daughter,Single,Female,Student,None,None
51,Swift Spur,Allan,Moore-Lees,14,Son,NA,Male,Student,None,NA
52,Swift Spur,Marie,Vaughan-Lloyd,47,Head,Married,Female,Nature conservation officer,None,Methodist
52,Swift Spur,Alex,Vaughan-Lloyd,51,Husband,Married,Male,Agricultural consultant,None,None
52,Swift Spur,Melissa,Vaughan-Lloyd,13,Daughter,NA,Female,Student,None,NA
52,Swift Spur,Patrick,Vaughan-Lloyd,10,Son,NA,Male,Student,None,NA
52,Swift Spur,Nigel,Vaughan-Lloyd,7,Son,NA,Male,Student,None,NA
52,Swift Spur,Marc,Vaughan-Lloyd,6,Son,NA,M,Student,None,NA
1,Stormfold Road,Marian,Howard,20,Head,Single,Female,University Student,None,None
1,Stormfold Road,Dennis,Nicholson,53,None,Single,Male,Technical brewer,None,None
1,Stormfold Road,Roger,Hunter,58,None,Single,Male,Electronics engineer,None,None
2,Stormfold Road,Norman,Lee,33,Head,Married,Male,Race relations officer,None,None
2,Stormfold Road,Linda,Lee,31,Wife,Married,Female,Retail buyer,None,None
3,Stormfold Road,Samantha,Mitchell,27,Head,Divorced,Female,Unemployed,None,None
3,Stormfold Road,Alison,Mitchell,5,Daughter,NA,Female,Student,None,NA
3,Stormfold Road,Phillip,Mitchell,3,Son,NA,Male,Child,None,NA
4,Stormfold Road,Tracey,Clark,40,Head,Married,Female,Unemployed,None,Methodist
4,Stormfold Road,Declan,Clark,46,Husband,Married,Male,Chartered certified accountant,None,Methodist
4,Stormfold Road,Jayne,Clark,20,Daughter,Divorced,Female,University Student,None,Methodist
4,Stormfold Road,Chelsea,Clark,20,Daughter,Single,Female,University Student,None,Methodist
4,Stormfold Road,Henry,Clark,8,Son,NA,Male,Student,None,NA
5,Stormfold Road,Ellie,Harris,18,Head,Single,Female,University Student,None,Catholic
5,Stormfold Road,Martin,Porter,19,None,Single,Male,University Student,None,Christian
6,Stormfold Road,Lesley,Simpson,66,Head,Widowed,Female,"Secretary, company",None,Christian
6,Stormfold Road,Hollie,Simpson,39,Daughter,Divorced,Female,Field trials officer,None,None
1,Walsh Road,Mathew,Warner,38,Head,Single,Male,Unemployed,None,Christian
1,Walsh Road,Daniel,Warner,9,Nephew,NA,Male,Student,None,NA
2,Walsh Road,Jack,Oliver,56,Head,Single,Male,Child psychotherapist,None,None
3,Walsh Road,Charles,Dixon,37,Head,Single,Male,Actuary,None,None
4,Walsh Road,Janice,Gilbert,19,Head,Married,Female,University Student,None,Catholic
4,Walsh Road,Leon,Gilbert,19,Husband,Married,Male,University Student,None,Catholic
5,Walsh Road,Elizabeth,Bailey,69,Head,Widowed,Female,Retired Building surveyor,None,Christian
6,Walsh Road,Alan,Davies,64,Head,Single,Male,Planning and development surveyor,None,Christian
7,Walsh Road,Wayne,Brooks,79,Head,Divorced,Male,Retired Technical brewer,None,Christian
8,Walsh Road,Terry,Skinner,35,Head,Divorced,Male,"Radiographer, therapeutic",None,None
8,Walsh Road,Mark,Skinner,4,Step-Son,NA,Male,Child,None,NA
9,Walsh Road,Marian,Thomas,67,Head,Widowed,Female,Magazine journalist,None,Christian
1,Carter Lane,Nigel,Thompson,80,Head,Widowed,Male,Retired Building control surveyor,None,Methodist
2,Carter Lane,Thomas,Wright,56,Head,Married,m,Speech and language therapist,None,Christian
2,Carter Lane,Andrea,Wright,53,Wife,Married,Female,Bookseller,None,None
2,Carter Lane,Kathryn,Wright,17,Daughter,NA,Female,Student,None,NA
3,Carter Lane,Gillian,Wilkinson,50,Head,Divorced,Female,Unemployed,Mental Disability,None
3,Carter Lane,Leslie,Wilkinson,15,Son,NA,Male,Student,None,NA
4,Carter Lane,Denise,Cooke-Taylor,34,Head,Single,Female,Dancer,None,None
4,Carter Lane,Declan,Bolton,37,Partner,Single,Male,Licensed conveyancer,None,None
4,Carter Lane,Jenna,Cooke-Taylor,7,Daughter,NA,Female,Student,None,NA
5,Carter Lane,Anne,Robertson,59,Head,Married,Female,Government social research officer,None,None
5,Carter Lane,Jack,Robertson,63,Husband,Married,Male,"Librarian, public",None,None
5,Carter Lane,Iain,Robertson,26,Son,Divorced,Male,Geophysical data processor,None,None
6,Carter Lane,Kim,Bond,48,Head,Married,Female,Unemployed,None,Catholic
6,Carter Lane,Adrian,Bond,60,Husband,Married,Male,Farm manager,None,Catholic
6,Carter Lane,Joshua,Kelly-Bond,8,Son,NA,Male,Student,None,NA
7,Carter Lane,Abbie,Roberts,43,Head,Single,Female,Dispensing optician,None,Catholic
7,Carter Lane,Oliver,Greenwood,45,Partner,Single,Male,Pathologist,None,Catholic
7,Carter Lane,Aaron,Roberts,9,Son,NA,Male,Student,None,NA
8,Carter Lane,Marian,Kennedy,29,Head,Married,Female,Television production assistant,None,Catholic
8,Carter Lane,Darren,Kennedy,33,Husband,Married,Male,Waste management officer,None,Catholic
9,Carter Lane,Yvonne,Bell,43,Head,Married,Female,Dance movement psychotherapist,None,None
9,Carter Lane,Andrew,Bell,45,Husband,Married,Male,"Production assistant, television",None,None
9,Carter Lane,Oliver,Bell,22,Son,Single,Male,University Student,None,None
10,Carter Lane,Sandra,Stewart,52,Head,Married,Female,IT trainer,None,None
10,Carter Lane,Neil,Stewart,57,Husband,Married,Male,"Research officer, trade union",None,None
10,Carter Lane,Leah,Stewart,11,Daughter,NA,Female,Student,None,NA
1,Powell Dam,Julie,Owens,56,Head,Married,Female,"Engineer, technical sales",None,Catholic
1,Powell Dam,Gavin,Owens,61,Husband,Married,Male,Recycling officer,None,None
1,Powell Dam,Reece,Owens,23,Son,Divorced,Male,Architectural technologist,None,None
1,Powell Dam,Donna,Owens,19,Daughter,Divorced,Female,University Student,None,Catholic
1,Powell Dam,Leonard,Owens,15,Son,NA,Male,Student,None,NA
2,Powell Dam,Olivia,Wood,48,Head,Single,Female,"Designer, industrial/product",None,None
2,Powell Dam,Gail,Wood,10,Daughter,NA,Female,Student,None,NA
2,Powell Dam,June,Wood,6,Daughter,NA,Female,Student,None,NA
2,Powell Dam,David,Wood,3,Son,NA,Male,Child,None,NA
3,Powell Dam,Janet,Booth,21,Head,Single,Female,"Physicist, medical",None,Catholic
4,Powell Dam,Pamela,Davies,70,Head,Married,Female,Retired Teaching laboratory technician,None,Sikh
4,Powell Dam,Marc,Davies,74,Husband,Married,Male,Retired Air cabin crew,None,None
4,Powell Dam,Charles,Davies,21,Grandson,Single,Male,University Student,None,Sikh
4,Powell Dam,Stephanie,Davies,17,Granddaughter,NA,Female,Student,None,NA
4,Powell Dam,Tracey,Davies,11,Granddaughter,NA,female,Student,None,NA
4,Powell Dam,Alan,Davies,11,Grandson,NA,Male,Student,None,NA
4,Powell Dam,Hilary,Davies,7,Granddaughter,NA,Female,Student,None,NA
5,Powell Dam,Julia,Stanley,45,Head,Married,Female,Dentist,None,Muslim
5,Powell Dam,Josh,Stanley,48,Husband,Married,Male,Camera operator,None,None
5,Powell Dam,Charles,Stanley,13,Son,NA,Male,Student,None,NA
5,Powell Dam,Gail,Stanley,10,Daughter,NA,Female,Student,None,NA
